idx,model_name,num_var,num_inputs,num_regulars,variable_mapping,regulations
11,ASYMMETRIC-CELL-DIVISION-B,9,0,9,"x1: v_CckA, x2: v_ChpT, x3: v_ClpXP_RcdA, x4: v_CpdR, x5: v_CtrAb, x6: v_DivJ, x7: v_DivK, x8: v_DivL, x9: v_PleC","x1 = x8
x2 = x1
x3 = NOT x4
x4 = x2
x5 = ( x2 AND NOT x3 )
x6 = ( x7 AND NOT x9 )
x7 = ( NOT x9 AND x6 )
x8 = NOT x7
x9 = NOT x7"
12,T-LGL-SURVIVAL-NETWORK-2011-REDUCED,18,0,18,"x1: v_Apoptosis_, x2: v_BID_, x3: v_CREB, x4: v_CTLA4_, x5: v_Caspase, x6: v_Ceramide_, x7: v_DISC_, x8: v_FLIP_, x9: v_Fas, x10: v_GPCR_, x11: v_IAP_, x12: v_IFNG_, x13: v_MCL1, x14: v_P2, x15: v_S1P, x16: v_SMAD_, x17: v_TCR, x18: v_sFas","x1 = ( x5 OR x1 )
x2 = NOT ( x13 OR x1 )
x3 = ( x12 AND NOT x1 )
x4 = ( x17 AND NOT x1 )
x5 = ( ( x2 AND NOT ( x11 OR x1 ) ) OR ( x7 AND NOT x1 ) )
x6 = ( x9 AND NOT ( x1 OR x15 ) )
x7 = ( ( x9 AND NOT ( x8 OR x1 ) ) OR ( x6 AND NOT x1 ) )
x8 = NOT ( x1 OR x7 )
x9 = NOT ( x1 OR x18 )
x10 = ( x15 AND NOT x1 )
x11 = NOT ( x2 OR x1 )
x12 = NOT ( ( x14 OR x1 ) OR x16 )
x13 = NOT ( x1 OR x7 )
x14 = ( ( x12 AND NOT x1 ) OR ( x14 AND NOT x1 ) )
x15 = NOT ( x1 OR x6 )
x16 = ( x10 AND NOT x1 )
x17 = NOT ( x1 OR x4 )
x18 = ( x15 AND NOT x1 )"
13,YEAST-HYPHAL-TRANSITION,19,3,16,"x1: v_Brg1, x2: v_Cyr1, x3: v_EFG1_T, x4: v_ESCRT, x5: v_Efg1, x6: v_Efg1_active, x7: v_Farnesol, x8: v_HAG_T, x9: v_HATs, x10: v_HDACs, x11: v_NRG1_T, x12: v_Nrg1_HAGs, x13: v_Rim8, x14: v_Temperature, x15: v_Ume6, x16: v_cAMP_PKA, x17: v_hyphal_initiation, x18: v_hyphal_maintenance, x19: v_pH","x1 = NOT x12
x2 = ( NOT x7 AND x14 )
x3 = ( NOT x6 OR ( x6 AND x1 ) )
x4 = x13
x5 = x3
x6 = ( ( ( NOT x4 AND x16 ) AND x5 ) OR ( x4 AND x5 ) )
x8 = ( ( ( NOT x12 AND NOT x1 ) AND x15 ) OR ( NOT x12 AND x1 ) )
x9 = ( x6 AND NOT x10 )
x10 = x1
x11 = ( ( ( ( ( ( ( ( ( ( ( ( ( NOT x4 AND NOT x16 ) AND NOT x1 ) AND NOT x15 ) OR ( ( ( ( NOT x4 AND NOT x16 ) AND NOT x1 ) AND x15 ) AND x17 ) ) OR ( ( ( NOT x4 AND NOT x16 ) AND x1 ) AND x17 ) ) OR ( ( ( ( NOT x4 AND x16 ) AND NOT x6 ) AND NOT x1 ) AND NOT x15 ) ) OR ( ( ( ( ( NOT x4 AND x16 ) AND NOT x6 ) AND NOT x1 ) AND x15 ) AND x17 ) ) OR ( ( ( ( NOT x4 AND x16 ) AND NOT x6 ) AND x1 ) AND x17 ) ) OR ( ( ( NOT x4 AND x16 ) AND x6 ) AND x17 ) ) OR ( ( ( x4 AND NOT x6 ) AND NOT x1 ) AND NOT x15 ) ) OR ( ( ( ( x4 AND NOT x6 ) AND NOT x1 ) AND x15 ) AND x17 ) ) OR ( ( ( x4 AND NOT x6 ) AND x1 ) AND x17 ) ) OR ( ( x4 AND x6 ) AND x17 ) )
x12 = ( ( x11 AND NOT x10 ) OR ( ( x11 AND x10 ) AND x9 ) )
x13 = x19
x15 = ( NOT x12 AND x1 )
x16 = x2
x17 = ( ( ( ( ( NOT x12 AND NOT x1 ) AND x17 ) OR ( ( ( NOT x12 AND x1 ) AND NOT x9 ) AND x17 ) ) OR ( ( NOT x12 AND x1 ) AND x9 ) ) OR ( x12 AND x17 ) )
x18 = ( ( NOT x12 AND x15 ) AND x17 )"
14,DROSOPHILA-GAP-C,7,2,5,"x1: v_Gt, x2: v_Hb_b1, x3: v_Hb_b2, x4: v_Hb_b3, x5: v_Kni, x6: v_Kr_b1, x7: v_Kr_b2","x1 = NOT x6
x3 = ( ( x2 AND x3 ) AND x4 )
x5 = ( ( NOT x1 AND NOT x2 ) OR ( ( NOT x1 AND x2 ) AND NOT x3 ) )
x6 = ( ( ( ( ( ( ( ( ( ( ( ( ( ( NOT x1 AND NOT x2 ) AND x6 ) AND x7 ) OR ( ( NOT x1 AND x2 ) AND NOT x3 ) ) OR ( ( ( NOT x1 AND x2 ) AND x3 ) AND NOT x4 ) ) OR ( ( ( ( ( NOT x1 AND x2 ) AND x3 ) AND x4 ) AND x6 ) AND x7 ) ) OR ( ( ( x1 AND NOT x2 ) AND x6 ) AND x7 ) ) OR ( ( ( ( x1 AND x2 ) AND NOT x3 ) AND NOT x6 ) AND NOT x5 ) ) OR ( ( ( ( ( x1 AND x2 ) AND NOT x3 ) AND x6 ) AND NOT x7 ) AND NOT x5 ) ) OR ( ( ( ( x1 AND x2 ) AND NOT x3 ) AND x6 ) AND x7 ) ) OR ( ( ( ( ( x1 AND x2 ) AND x3 ) AND NOT x4 ) AND NOT x6 ) AND NOT x5 ) ) OR ( ( ( ( ( ( x1 AND x2 ) AND x3 ) AND NOT x4 ) AND x6 ) AND NOT x7 ) AND NOT x5 ) ) OR ( ( ( ( ( x1 AND x2 ) AND x3 ) AND NOT x4 ) AND x6 ) AND x7 ) ) OR ( ( ( ( ( x1 AND x2 ) AND x3 ) AND x4 ) AND x6 ) AND x7 ) )
x7 = ( ( ( ( ( NOT x1 AND x2 ) AND NOT x3 ) AND x6 ) AND NOT x5 ) OR ( ( ( ( ( NOT x1 AND x2 ) AND x3 ) AND NOT x4 ) AND x6 ) AND NOT x5 ) )"
15,CONTROL-OF-PROLIFERATION,18,1,17,"x1: v_AKT, x2: v_E2F, x3: v_EIF4F, x4: v_FOXO3, x5: v_GFs, x6: v_MAPK, x7: v_PI3K, x8: v_PIP3, x9: v_PRAS40, x10: v_Proliferation_b1, x11: v_Proliferation_b2, x12: v_RAS, x13: v_RTK, x14: v_Rb, x15: v_S6K, x16: v_TSC, x17: v_cycE, x18: v_mTORC1","x1 = x8
x2 = NOT x14
x3 = x18
x4 = ( NOT x6 OR ( x6 AND NOT x1 ) )
x6 = ( ( NOT x12 AND x8 ) OR x12 )
x7 = ( ( NOT x13 AND x12 ) OR x13 )
x8 = x7
x9 = NOT x1
x10 = ( ( ( ( ( ( NOT x2 AND NOT x3 ) AND x10 ) AND x11 ) OR ( ( ( ( NOT x2 AND x3 ) AND NOT x15 ) AND x10 ) AND x11 ) ) OR ( ( NOT x2 AND x3 ) AND x15 ) ) OR x2 )
x11 = ( ( ( x2 AND x3 ) AND x15 ) AND x10 )
x12 = x13
x13 = ( ( ( ( ( NOT x6 AND NOT x4 ) AND NOT x15 ) AND x5 ) OR ( ( NOT x6 AND x4 ) AND x5 ) ) OR ( ( x6 AND x4 ) AND x5 ) )
x14 = NOT x17
x15 = x18
x16 = ( NOT x6 AND NOT x1 )
x17 = ( ( ( ( NOT x4 AND NOT x1 ) AND x2 ) OR ( NOT x4 AND x1 ) ) OR ( x4 AND x2 ) )
x18 = ( NOT x16 AND NOT x9 )"
16,MAMMALIAN-CELL-CYCLE,20,1,19,"x1: v_Akt1, x2: v_CDK2, x3: v_CDK4, x4: v_CDK6, x5: v_CycD1, x6: v_CycE1, x7: v_EGF, x8: v_ERa, x9: v_ErbB1, x10: v_ErbB1_2, x11: v_ErbB1_3, x12: v_ErbB2, x13: v_ErbB2_3, x14: v_ErbB3, x15: v_IGF1R, x16: v_MEK1, x17: v_cMYC, x18: v_p21, x19: v_p27, x20: v_pRB","x1 = ( ( ( ( x13 OR x15 ) OR x10 ) OR x11 ) OR x9 )
x2 = ( x6 AND NOT ( x18 OR x19 ) )
x3 = ( x5 AND NOT ( x18 OR x19 ) )
x4 = x5
x5 = ( ( x1 AND ( x17 AND x8 ) ) OR ( x16 AND ( x8 AND x17 ) ) )
x6 = x17
x8 = ( x1 OR x16 )
x9 = x7
x10 = ( x9 AND x12 )
x11 = ( x9 AND x14 )
x12 = x7
x13 = ( x12 AND x14 )
x14 = x7
x15 = ( ( x8 AND NOT x13 ) OR ( x1 AND NOT x13 ) )
x16 = ( ( ( ( x13 OR x10 ) OR x15 ) OR x11 ) OR x9 )
x17 = ( ( x16 OR x1 ) OR x8 )
x18 = ( x8 AND NOT ( ( x3 OR x1 ) OR x17 ) )
x19 = ( x8 AND NOT ( ( ( x17 OR x3 ) OR x1 ) OR x2 ) )
x20 = ( ( x3 AND x4 ) OR ( x2 AND ( x4 AND x3 ) ) )"
17,CARDIAC-DEVELOPMENT,15,2,13,"x1: v_Bmp2, x2: v_Dkk1, x3: v_Fgf8, x4: v_Foxc1_2, x5: v_GATAs, x6: v_Isl1, x7: v_Mesp1, x8: v_Nkx2_5, x9: v_Tbx1, x10: v_Tbx5, x11: v_canWnt, x12: v_exogen_BMP2_I, x13: v_exogen_BMP2_II, x14: v_exogen_CanWnt_I, x15: v_exogen_canWnt_II","x1 = ( x13 AND NOT x11 )
x2 = ( x7 OR ( x11 AND NOT x13 ) )
x3 = ( ( x9 AND NOT x7 ) OR ( x4 AND NOT x7 ) )
x4 = ( x11 AND x15 )
x5 = ( ( x8 OR x10 ) OR x7 )
x6 = ( ( ( x7 OR x9 ) OR x3 ) OR ( x11 AND x15 ) )
x7 = ( x11 AND NOT x13 )
x8 = ( ( ( ( x10 OR x9 ) OR ( x7 AND x2 ) ) OR ( x1 AND x5 ) ) OR ( x6 AND x5 ) )
x9 = x4
x10 = ( ( ( x10 AND NOT ( ( x11 OR ( x2 AND ( NOT x10 AND NOT x7 ) ) ) OR x9 ) ) OR ( x8 AND NOT ( ( x11 OR ( x2 AND ( NOT x10 AND NOT x7 ) ) ) OR x9 ) ) ) OR ( x7 AND NOT ( ( x11 OR ( x2 AND ( NOT x10 AND NOT x7 ) ) ) OR x9 ) ) )
x11 = x15
x13 = x12
x15 = x14"
18,METABOLIC-INTERACTIONS-IN-GUT-MICROBIOME,12,4,8,"x1: v_Akkermansia_, x2: v_Barnesiella, x3: v_Blautia, x4: v_Clindamycin_, x5: v_Clostridium_difficile, x6: v_Coprobacillus, x7: v_Enterobacteriaceae, x8: v_Enterococcus, x9: v_Lachnospiraceae, x10: v_Lachnospiraceae_other_, x11: v_Mollicutes, x12: v_Other","x1 = x6
x2 = ( ( ( x10 AND NOT x4 ) OR ( x12 AND NOT x4 ) ) OR ( x9 AND NOT x4 ) )
x3 = ( ( ( ( x6 AND NOT x3 ) OR x8 ) OR ( x3 AND NOT x6 ) ) OR x3 )
x5 = ( x5 AND NOT x2 )
x8 = ( ( ( ( x7 OR x11 ) OR x3 ) OR x5 ) OR NOT ( ( ( ( x7 OR x5 ) OR x6 ) OR x3 ) OR x11 ) )
x9 = ( ( ( x9 AND NOT x4 ) OR ( x10 AND NOT x4 ) ) OR ( x12 AND NOT x4 ) )
x10 = ( ( ( x9 AND NOT x4 ) OR ( x12 AND NOT x4 ) ) OR ( x10 AND NOT x4 ) )
x12 = ( ( ( x12 AND NOT x4 ) OR ( x10 AND NOT x4 ) ) OR ( x9 AND NOT x4 ) )"
19,MORPHOGENETIC-CHECKPOINT,12,1,11,"x1: v_BUD, x2: v_Clb2_b1, x3: v_Clb2_b2, x4: v_Hsl1, x5: v_MASS_b1, x6: v_MASS_b2, x7: v_Mih1_b1, x8: v_Mih1_b2, x9: v_Mpk1, x10: v_SBF, x11: v_Swe1_b1, x12: v_Swe1_b2","x1 = x5
x2 = ( ( ( NOT x2 AND x5 ) OR ( ( x2 AND NOT x3 ) AND x5 ) ) OR ( x2 AND x3 ) )
x3 = ( ( ( ( ( ( ( NOT x11 AND x2 ) AND x5 ) OR ( ( ( ( ( x11 AND NOT x12 ) AND NOT x7 ) AND x2 ) AND x5 ) AND x6 ) ) OR ( ( ( ( ( ( x11 AND NOT x12 ) AND x7 ) AND NOT x8 ) AND x2 ) AND x5 ) AND x6 ) ) OR ( ( ( ( ( x11 AND NOT x12 ) AND x7 ) AND x8 ) AND x2 ) AND x5 ) ) OR ( ( ( ( ( ( x11 AND x12 ) AND x7 ) AND NOT x8 ) AND x2 ) AND x5 ) AND x6 ) ) OR ( ( ( ( ( x11 AND x12 ) AND x7 ) AND x8 ) AND x2 ) AND x5 ) )
x4 = x1
x6 = ( x5 AND x6 )
x7 = ( ( ( ( ( ( NOT x7 AND NOT x2 ) AND NOT x9 ) OR ( NOT x7 AND x2 ) ) OR ( ( ( x7 AND NOT x8 ) AND NOT x2 ) AND NOT x9 ) ) OR ( ( x7 AND NOT x8 ) AND x2 ) ) OR ( x7 AND x8 ) )
x8 = ( ( x7 AND x2 ) AND NOT x9 )
x9 = NOT x1
x10 = ( ( NOT x2 AND x5 ) OR ( ( x2 AND NOT x3 ) AND x5 ) )
x11 = ( ( ( ( ( ( ( ( ( NOT x10 AND x11 ) AND x12 ) OR ( ( x10 AND NOT x11 ) AND NOT x2 ) ) OR ( ( ( x10 AND NOT x11 ) AND x2 ) AND NOT x3 ) ) OR ( ( ( ( x10 AND NOT x11 ) AND x2 ) AND x3 ) AND NOT x4 ) ) OR ( ( ( x10 AND x11 ) AND NOT x12 ) AND NOT x2 ) ) OR ( ( ( ( x10 AND x11 ) AND NOT x12 ) AND x2 ) AND NOT x3 ) ) OR ( ( ( ( ( x10 AND x11 ) AND NOT x12 ) AND x2 ) AND x3 ) AND NOT x4 ) ) OR ( ( x10 AND x11 ) AND x12 ) )
x12 = ( ( ( ( x10 AND x11 ) AND NOT x2 ) AND NOT x4 ) OR ( ( ( ( x10 AND x11 ) AND x2 ) AND NOT x3 ) AND NOT x4 ) )"
20,CHICKEN-SEX-DETERMINATION,15,3,12,"x1: v_AMH, x2: v_AROMA, x3: v_B_CATENIN, x4: v_DMRT1_b1, x5: v_DMRT1_b2, x6: v_ESTRO, x7: v_FGF9, x8: v_FOXL2, x9: v_HEMGN, x10: v_SF1, x11: v_SOX9, x12: v_W, x13: v_WNT4, x14: v_Z1, x15: v_Z2","x1 = ( ( ( NOT x11 AND NOT x6 ) AND x10 ) OR ( x11 AND NOT x6 ) )
x2 = ( ( NOT x8 AND x10 ) OR x8 )
x3 = ( NOT x11 AND x13 )
x4 = ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( NOT x14 AND NOT x4 ) AND NOT x9 ) AND x11 ) AND NOT x8 ) OR ( ( ( NOT x14 AND NOT x4 ) AND x9 ) AND NOT x8 ) ) OR ( ( ( ( ( NOT x14 AND x4 ) AND NOT x5 ) AND NOT x9 ) AND x11 ) AND NOT x8 ) ) OR ( ( ( ( NOT x14 AND x4 ) AND NOT x5 ) AND x9 ) AND NOT x8 ) ) OR ( ( NOT x14 AND x4 ) AND x5 ) ) OR ( ( ( ( ( x14 AND NOT x15 ) AND NOT x4 ) AND NOT x9 ) AND x11 ) AND NOT x8 ) ) OR ( ( ( ( x14 AND NOT x15 ) AND NOT x4 ) AND x9 ) AND NOT x8 ) ) OR ( ( ( ( ( ( x14 AND NOT x15 ) AND x4 ) AND NOT x5 ) AND NOT x9 ) AND x11 ) AND NOT x8 ) ) OR ( ( ( ( ( x14 AND NOT x15 ) AND x4 ) AND NOT x5 ) AND x9 ) AND NOT x8 ) ) OR ( ( ( x14 AND NOT x15 ) AND x4 ) AND x5 ) ) OR ( ( ( ( x14 AND x15 ) AND NOT x12 ) AND NOT x4 ) AND NOT x8 ) ) OR ( ( ( ( ( x14 AND x15 ) AND NOT x12 ) AND x4 ) AND NOT x5 ) AND NOT x8 ) ) OR ( ( ( ( x14 AND x15 ) AND NOT x12 ) AND x4 ) AND x5 ) ) OR ( ( ( ( ( ( x14 AND x15 ) AND x12 ) AND NOT x4 ) AND NOT x9 ) AND x11 ) AND NOT x8 ) ) OR ( ( ( ( ( x14 AND x15 ) AND x12 ) AND NOT x4 ) AND x9 ) AND NOT x8 ) ) OR ( ( ( ( ( ( ( x14 AND x15 ) AND x12 ) AND x4 ) AND NOT x5 ) AND NOT x9 ) AND x11 ) AND NOT x8 ) ) OR ( ( ( ( ( ( x14 AND x15 ) AND x12 ) AND x4 ) AND NOT x5 ) AND x9 ) AND NOT x8 ) ) OR ( ( ( ( x14 AND x15 ) AND x12 ) AND x4 ) AND x5 ) )
x5 = ( ( ( ( x4 AND NOT x9 ) AND x11 ) AND NOT x8 ) OR ( ( x4 AND x9 ) AND NOT x8 ) )
x6 = x2
x7 = x11
x8 = ( ( ( ( ( NOT x4 AND NOT x6 ) AND NOT x1 ) OR ( NOT x4 AND x6 ) ) OR ( ( ( x4 AND NOT x5 ) AND NOT x6 ) AND NOT x1 ) ) OR ( ( x4 AND NOT x5 ) AND x6 ) )
x9 = ( x4 AND NOT x11 )
x10 = x6
x11 = ( ( ( ( ( NOT x4 AND x11 ) AND NOT x8 ) AND NOT x3 ) OR ( ( ( ( x4 AND NOT x5 ) AND x11 ) AND NOT x8 ) AND NOT x3 ) ) OR ( ( x4 AND x5 ) AND NOT x8 ) )
x13 = NOT x7"
21,EGGSHELL-PATTERNING-PHENOMOENOLOGICAL,8,4,4,"x1: v_BMP, x2: v_EGF_b1, x3: v_EGF_b2, x4: v_Floor, x5: v_Operculum, x6: v_Roof, x7: v_Roof_adj, x8: v_anterior","x3 = ( x2 AND x3 )
x4 = ( ( ( ( ( x2 AND NOT x3 ) AND x1 ) AND x7 ) AND x8 ) OR ( ( ( x2 AND x3 ) AND x7 ) AND x8 ) )
x5 = ( ( ( ( ( x2 AND NOT x3 ) AND x1 ) AND NOT x7 ) AND x8 ) OR ( ( ( x2 AND x3 ) AND NOT x7 ) AND x8 ) )
x6 = ( ( ( x2 AND NOT x3 ) AND NOT x1 ) AND x8 )"
22,OXIDATIVE-STRESS-PATHWAY,19,1,18,"x1: v_ARE, x2: v_ATM, x3: v_Akt, x4: v_Bach1, x5: v_Bad, x6: v_Bcl2, x7: v_GSK3b, x8: v_Keap1, x9: v_Mdm2, x10: v_Nrf2, x11: v_PI3K, x12: v_PIP2, x13: v_PIP3, x14: v_PKC, x15: v_PTEN, x16: v_ROS, x17: v_Ras, x18: v_Stress, x19: v_p53","x1 = ( x10 AND NOT ( ( x7 OR x4 ) OR x1 ) )
x2 = x16
x3 = x13
x4 = NOT x16
x5 = NOT x3
x6 = NOT ( x19 OR x5 )
x7 = NOT x3
x8 = ( ( x10 AND NOT x4 ) OR ( x8 AND NOT x4 ) )
x9 = ( ( x19 AND NOT x2 ) OR ( x3 AND NOT x2 ) )
x10 = ( ( x14 OR x3 ) OR NOT ( ( x3 OR x8 ) OR x14 ) )
x11 = x17
x12 = x11
x13 = ( x12 AND NOT x15 )
x14 = ( x16 AND ( NOT x1 OR NOT x1 ) )
x15 = NOT x16
x16 = ( x18 AND NOT x1 )
x17 = x16
x19 = ( x2 AND NOT x9 )"
23,CORTICAL-AREA-DEVELOPMENT,5,0,5,"x1: v_Coup_fti, x2: v_Emx2, x3: v_Fgf8, x4: v_Pax6, x5: v_Sp8","x1 = ( NOT ( x3 OR x5 ) OR NOT ( x5 OR x3 ) )
x2 = ( x1 AND NOT ( ( x3 OR x5 ) OR x4 ) )
x3 = ( ( x3 AND x5 ) AND NOT x2 )
x4 = ( x5 AND NOT ( x2 OR x1 ) )
x5 = ( x3 AND NOT x2 )"
24,BUDDING-YEAST-EXIT-MODULE,16,5,11,"x1: v_Bub2_Bfa1, x2: v_Cdc14, x3: v_Cdc15, x4: v_Cdc20, x5: v_Cdc5Polo, x6: v_Cdh1, x7: v_Clb2_b1, x8: v_Clb2_b2, x9: v_Net1_b1, x10: v_Net1_b2, x11: v_PP2ACdc55_b1, x12: v_PP2ACdc55_b2, x13: v_SecurinPds1, x14: v_SeparaseEsp1_b1, x15: v_SeparaseEsp1_b2, x16: v_Tem1","x1 = ( ( ( NOT x11 AND NOT x5 ) OR ( ( x11 AND NOT x12 ) AND NOT x5 ) ) OR ( x11 AND x12 ) )
x3 = ( ( ( NOT x7 OR ( x7 AND NOT x8 ) ) OR ( ( ( x7 AND x8 ) AND NOT x9 ) AND x2 ) ) OR ( ( ( ( x7 AND x8 ) AND x9 ) AND NOT x10 ) AND x2 ) )
x4 = NOT x6
x5 = ( x7 AND NOT x6 )
x6 = ( ( ( ( ( ( NOT x7 AND NOT x9 ) AND NOT x2 ) AND x6 ) OR ( ( NOT x7 AND NOT x9 ) AND x2 ) ) OR ( ( NOT x7 AND x9 ) AND x6 ) ) OR ( ( ( x7 AND NOT x8 ) AND NOT x9 ) AND x2 ) )
x7 = ( ( ( NOT x7 AND NOT x6 ) OR ( ( x7 AND NOT x8 ) AND NOT x6 ) ) OR ( x7 AND x8 ) )
x8 = ( ( x7 AND NOT x4 ) AND NOT x6 )
x9 = ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND NOT x16 ) AND NOT x9 ) AND x2 ) OR ( ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND NOT x16 ) AND x9 ) AND NOT x10 ) AND x2 ) ) OR ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND NOT x16 ) AND x9 ) AND x10 ) ) OR ( ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) AND NOT x9 ) AND x2 ) ) OR ( ( ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) AND x9 ) AND NOT x10 ) AND x2 ) ) OR ( ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) AND x9 ) AND x10 ) ) OR ( ( ( ( ( ( NOT x7 AND NOT x11 ) AND NOT x1 ) AND x16 ) AND x3 ) AND x9 ) AND x10 ) ) OR ( ( ( ( NOT x7 AND NOT x11 ) AND x1 ) AND NOT x9 ) AND x2 ) ) OR ( ( ( ( ( NOT x7 AND NOT x11 ) AND x1 ) AND x9 ) AND NOT x10 ) AND x2 ) ) OR ( ( ( ( NOT x7 AND NOT x11 ) AND x1 ) AND x9 ) AND x10 ) ) OR ( ( ( NOT x7 AND x11 ) AND NOT x1 ) AND NOT x16 ) ) OR ( ( ( ( NOT x7 AND x11 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) ) OR ( ( ( ( ( ( NOT x7 AND x11 ) AND NOT x1 ) AND x16 ) AND x3 ) AND x9 ) AND x10 ) ) OR ( ( NOT x7 AND x11 ) AND x1 ) ) OR ( ( ( ( x7 AND NOT x8 ) AND NOT x11 ) AND x9 ) AND x10 ) ) OR ( ( ( ( x7 AND NOT x8 ) AND x11 ) AND NOT x1 ) AND NOT x16 ) ) OR ( ( ( ( ( x7 AND NOT x8 ) AND x11 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) ) OR ( ( ( ( ( ( ( x7 AND NOT x8 ) AND x11 ) AND NOT x1 ) AND x16 ) AND x3 ) AND x9 ) AND x10 ) ) OR ( ( ( x7 AND NOT x8 ) AND x11 ) AND x1 ) ) OR ( ( ( ( x7 AND x8 ) AND NOT x11 ) AND x9 ) AND x10 ) ) OR ( ( ( ( ( x7 AND x8 ) AND x11 ) AND NOT x12 ) AND x9 ) AND x10 ) ) OR ( ( ( ( ( x7 AND x8 ) AND x11 ) AND x12 ) AND NOT x1 ) AND NOT x16 ) ) OR ( ( ( ( ( ( x7 AND x8 ) AND x11 ) AND x12 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) ) OR ( ( ( ( ( ( ( ( x7 AND x8 ) AND x11 ) AND x12 ) AND NOT x1 ) AND x16 ) AND x3 ) AND x9 ) AND x10 ) ) OR ( ( ( ( x7 AND x8 ) AND x11 ) AND x12 ) AND x1 ) )
x10 = ( ( ( ( ( ( ( ( ( NOT x7 AND x11 ) AND NOT x1 ) AND NOT x16 ) AND x9 ) OR ( ( ( ( ( NOT x7 AND x11 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) AND x9 ) ) OR ( ( ( NOT x7 AND x11 ) AND x1 ) AND x9 ) ) OR ( ( ( ( ( x7 AND x11 ) AND x12 ) AND NOT x1 ) AND NOT x16 ) AND x9 ) ) OR ( ( ( ( ( ( x7 AND x11 ) AND x12 ) AND NOT x1 ) AND x16 ) AND NOT x3 ) AND x9 ) ) OR ( ( ( ( x7 AND x11 ) AND x12 ) AND x1 ) AND x9 ) )
x12 = ( ( ( ( NOT x13 AND NOT x14 ) AND x11 ) OR ( ( x13 AND NOT x14 ) AND x11 ) ) OR ( ( ( x13 AND x14 ) AND NOT x15 ) AND x11 ) )
x13 = NOT x4"
25,ASYMMETRIC-CELL-DIVISION-A,5,0,5,"x1: v_CcrM, x2: v_CtrA, x3: v_DnaA, x4: v_GcrA, x5: v_SciP","x1 = ( ( x2 AND NOT x1 ) AND NOT x5 )
x2 = ( ( ( ( NOT x2 AND x4 ) AND NOT x1 ) AND NOT x5 ) OR ( ( x2 AND NOT x1 ) AND NOT x5 ) )
x3 = ( ( ( x2 AND NOT x4 ) AND NOT x3 ) AND x1 )
x4 = ( NOT x2 AND x3 )
x5 = ( x2 AND NOT x3 )"
26,BODY-SEGMENTATION-IN-DROSOPHILA-2013,17,3,14,"x1: v_CIA, x2: v_CIR, x3: v_CI_protein, x4: v_EN_protein, x5: v_HH_protein, x6: v_PH, x7: v_PTC_protein, x8: v_SLP, x9: v_SMO, x10: v_WG_external, x11: v_WG_protein, x12: v_ci, x13: v_en, x14: v_hh, x15: v_hh_external, x16: v_ptc, x17: v_wg","x1 = ( ( x15 AND x3 ) OR ( x3 AND NOT x7 ) )
x2 = ( ( x3 AND x7 ) AND NOT x15 )
x3 = x12
x4 = x13
x5 = x14
x6 = ( x7 AND x15 )
x7 = ( ( x7 AND NOT x15 ) OR x16 )
x9 = ( x15 OR NOT ( x15 OR x7 ) )
x11 = x17
x12 = NOT x4
x13 = ( x10 AND NOT x8 )
x14 = ( x4 AND NOT x2 )
x16 = ( x1 AND NOT ( x2 OR x4 ) )
x17 = ( ( ( x17 AND ( x8 OR x1 ) ) AND NOT x2 ) OR ( ( x1 AND x8 ) AND NOT x2 ) )"
27,DROSOPHILA-GAP-D,7,2,5,"x1: v_Gt, x2: v_Hb_b1, x3: v_Hb_b2, x4: v_Hb_b3, x5: v_Kni, x6: v_Kr_b1, x7: v_Kr_b2","x1 = ( NOT x2 AND NOT x6 )
x2 = ( x2 AND x3 )
x3 = ( ( x2 AND x3 ) AND x4 )
x5 = ( ( NOT x1 AND NOT x2 ) OR ( ( NOT x1 AND x2 ) AND NOT x3 ) )
x6 = ( x6 AND x7 )"
